141,DeVante Parker    MIA,WR,10,0,0,0,0,0,40,515,2,0,0,0,0,10.4,103.5
141,James White    NE,RB,3,0,0,0,38,1,12,94,0,0,0,0,0,10.4,31.2
146,Myles Gaskin    MIA,RB,17,0,0,0,612,3,49,234,4,0,0,0,0,10.2,173.6
146,Michael Gallup    DAL,WR,9,0,0,0,0,0,35,445,2,0,0,0,0,10.2,91.5
148,Eric Kendricks    MIN,ILB,15,0,0,0,0,0,0,0,0,5,2,0,1,10.1,151.1
148,Taysom Hill    NO,QB,12,978,4,5,374,5,4,52,0,0,0,0,0,10.1,121.72
150,Jordyn Brooks    SEA,LB,17,0,0,0,0,0,0,0,0,1,0,0,1,10,169.7
150,De'Vondre Campbell    GB,OLB,16,0,0,0,0,0,0,0,0,2,2,2,1,10,160.8
150,Brandon Aiyuk    SF,WR,17,0,0,0,17,0,56,826,5,0,0,0,0,10,170.3
150,Cole Beasley    BUF,WR,16,0,0,0,0,0,82,693,1,0,0,0,0,10,159.3
154,Darius Leonard    IND,OLB,16,0,0,0,0,0,0,0,0,0,4,8,3,9.9,158.5
154,Denzel Perryman    LV,ILB,15,0,0,0,0,0,0,0,0,0,0,1,2,9.9,148
154,Van Jefferson    LAR,WR,17,0,0,0,20,0,50,802,6,0,0,0,0,9.9,168.2
154,Noah Fant    DEN,TE,16,0,0,0,0,0,68,670,4,0,0,0,0,9.9,159
154,Quintez Cephus    DET,WR,5,0,0,0,0,0,15,204,2,0,0,0,0,9.9,49.4
154,Nick Mullens    CLE,QB,1,147,1,0,0,0,0,0,0,0,0,0,0,9.9,9.88
160,C.J. Mosley    NYJ,ILB,16,0,0,0,0,0,0,0,0,2,0,2,0,9.8,156.4
160,Tim Patrick    DEN,WR,16,0,0,0,0,0,53,734,5,0,0,0,0,9.8,156.4
160,A.J. Green    ARI,WR,16,0,0,0,0,0,54,848,3,0,0,0,0,9.8,156.8
160,Miles Sanders    PHI,RB,12,0,0,0,754,0,26,158,0,0,0,0,0,9.8,117.2
160,Tyler Higbee Q    LAR,TE,15,0,0,0,0,0,61,560,5,0,0,0,0,9.8,147
165,Roquan Smith    CHI,ILB,17,0,0,0,0,0,0,0,0,3,1,0,0,9.7,165.5
165,Hunter Henry    NE,TE,17,0,0,0,0,0,50,603,9,0,0,0,0,9.7,164.3
165,Mike Gesicki    MIA,TE,17,0,0,0,0,0,73,780,2,0,0,0,0,9.7,165
168,Rhamondre Stevenson    NE,RB,12,0,0,0,606,5,14,123,0,0,0,0,0,9.6,114.9
169,Daniel Carlson    LV,K,17,0,0,0,0,0,0,0,0,0,0,0,0,9.5,162
169,Allen Lazard    GB,WR,15,0,0,0,32,0,40,513,8,0,0,0,0,9.5,142.5
169,Pat Freiermuth    PIT,TE,16,0,0,0,0,0,60,497,7,0,0,0,0,9.5,151.7
172,Nick Folk    NE,K,17,0,0,0,0,0,0,0,0,0,0,0,0,9.4,160
172,Bobby Wagner    SEA,ILB,16,0,0,0,0,0,0,0,0,1,1,1,0,9.4,151.2
172,Emmanuel Sanders    BUF,WR,14,0,0,0,31,0,42,626,4,0,0,0,0,9.4,131.7
175,New England Patriots    NE,DST,17,0,0,0,0,0,0,0,0,36,23,11,7,9.3,158
175,K.J. Osborn    MIN,WR,17,0,0,0,10,0,50,655,7,0,0,0,0,9.3,158.5
177,Aaron Donald    LAR,DT,17,0,0,0,0,0,0,0,0,12.5,0,4,0,9.2,157.1
