4 players
2: PPG
14 : 127.80065476190475 : ('Derrick Henry', 'Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Dak Prescott')
15 : 127.60291666666666 : ('Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Tyreek Hill', 'Davante Adams')
16 : 127.53607142857143 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Russell Wilson')
17 : 127.51940476190475 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Dak Prescott', 'Stefon Diggs')
18 : 127.42190476190478 : ('Christian McCaffrey', 'Alvin Kamara', 'Dalvin Cook', 'Travis Kelce', 'Dak Prescott')
19 : 127.38732142857143 : ('Derrick Henry', 'Christian McCaffrey', 'Alvin Kamara', 'Dalvin Cook', 'Dak Prescott')
20 : 127.2352380952381 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Justin Herbert')
21 : 127.10607142857143 : ('Christian McCaffrey', 'Alvin Kamara', 'Dalvin Cook', 'Dak Prescott', 'Stefon Diggs')
22 : 126.9752380952381 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Davante Adams', 'Dalvin Cook')
23 : 126.80666666666666 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dak Prescott', 'Calvin Ridley')
24 : 126.80291666666666 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Davante Adams', 'Aaron Rodgers')
25 : 126.74857142857142 : ('Christian McCaffrey', 'Patrick Mahomes', 'Tyreek Hill', 'Davante Adams', 'Dalvin Cook')
26 : 126.73333333333333 : ('Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Davante Adams', 'Travis Kelce')
27 : 126.69874999999999 : ('Derrick Henry', 'Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Davante Adams')
28 : 126.57357142857143 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Ryan Tannehill')
29 : 126.54482142857142 : ('Christian McCaffrey', 'Josh Allen', 'Tyreek Hill', 'Davante Adams', 'Dalvin Cook')
